from_id	to_id	to_lon	to_lat	from_lon	from_lat
afor_av_angelo-fantoni_02	Africa	15.9999997	2.0000003	10.899878	44.653587
	Aeroporto di tripoli	13.2754884156506	32.8962023	10.899878	44.653587
	Arabia	49.4771176515971	22.3743008	10.899878	44.653587
	Campogalliano	10.8407336	44.6905118	10.899878	44.653587
	Castelfranco emilia	11.0529006	44.5950245	10.899878	44.653587
	Ferrara	11.6186451	44.8372737	10.899878	44.653587
	Finlandia	25.9209164	63.2467777	10.899878	44.653587
	Galleria estense	10.9210346	44.6482469	10.899878	44.653587
	Germania	10.4234469	51.0834196	10.899878	44.653587
	Tripoli	13.1777923	32.896672	10.899878	44.653587
	Venezia	12.3345898	45.4371908	10.899878	44.653587
	Via cesare costa	10.9119155	44.6568188	10.899878	44.653587
	Vignola	11.0090928	44.4784141	10.899878	44.653587
	Libia	18.1236723	26.8234472	10.899878	44.653587
	Matic elettra	10.9010916	44.6542251	10.899878	44.653587
	New york	-73.9871558	40.7308619	10.899878	44.653587
	Somalia	49.083416	8.3676771	10.899878	44.653587
afor_av_annamaria-vincenzi_01	Via nicoli	10.9121646	44.6449469	10.9031855	44.6503823
	Via palestro	10.7754903	44.5470555	10.9031855	44.6503823
	Madonnina	10.8985687	44.6572947	10.9031855	44.6503823
	Medaglie d'oro	10.9302164	44.6367248	10.9031855	44.6503823
	Nonantola	11.0436236	44.6776083	10.9031855	44.6503823
	Parco ferrari	10.9074604877685	44.6499674	10.9031855	44.6503823
	Pestalozzi	10.9402933	44.6475791	10.9031855	44.6503823
afor_av_carlo-candi_01	Atene	23.7279843	37.9841493	10.899879	44.650135
	Battistero bizantino	16.9150324903434	39.1476519	10.899879	44.650135
	Brera	9.1877351	45.4715187	10.899879	44.650135
	Calabria	16.5249864	39.0565974	10.899879	44.650135
	Catanzaro	16.5960465	38.9076353	10.899879	44.650135
	Conservatorio cherubini	11.3166272	43.7674894	10.899879	44.650135
	Crotone	9.8169172	44.1060316	10.899879	44.650135
	Fiesole	11.2930735	43.8066689	10.899879	44.650135
	Firenze	11.2555757	43.7698712	10.899879	44.650135
	Fiumalbo	10.6477331	44.1799513	10.899879	44.650135
	Pozzoleo	16.91544565	39.1470277	10.899879	44.650135
	Via ricasoli	11.2583332	43.7765114	10.899879	44.650135
	Reggio emilia	10.6304958	44.6978446	10.899879	44.650135
	Roma	12.4853384	41.894802	10.899879	44.650135
	Venezia	16.9127762	39.1479012	10.899879	44.650135
	Sila	16.5074912220973	39.26001065	10.899879	44.650135
