video_id	name	id	address	description
CARLO_CANDI	accademia	PL000001		accademia in p.zza a Firenze
fantoni02	Acciaierie di Rubiera	PL000002	Acciaierie di Rubiera	
fantoni02	aeroporto di Tripoli	PL000003	aeroporto di Tripoli	
fantoni01	Africa	PL000004	africa	
SALVALAI_02	Anzola	PL000006	anzola dell’emilia	
fantoni02	Arabia	PL000007	arabian peninsula	
nora01	Arbe	PL000008	Via Emilia Ovest, 1014, 41123 Modena MO	fabbrica alla Bruciata dove adesso c'e Bricoman
vesce01	arcivescovado	PL000009	Corso Duomo, 34, 41121 Modena MO	arcivescovado di Modena
MIRIAM_01_1	asilo	PL000010	Via Giovanni Antonio Scacciera, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy	al Villaggio -> intende scuole materne
MIRIAM_01_1	Assisi	PL000013	Assisi, PG, Umbria, 06081, Italy	
CARLO_CANDI	Atene	PL000014	atene, grecia	
fantoni02	autobus	PL000015		costruttore di autobus nel villaggio
nora01	Autodromo	PL000016	Parco Enzo Ferrari, modena	
nora01	autotrasporti	PL000017		ditta di autotrasporti dietro casa Nora
nora01	azienda	PL000018		isola ecologica in via Nobili
MOGLIE_MAESTRO	bar	PL000019		di fronte alla fabbrica sede delle scuole
nora01	bar	PL000020		non precisato
nora01	barbiere	PL000021		non precisato
vesce01	bassa	PL000022		
CARLO_CANDI	battistero bizantino	PL000023	Piazza Campo, 88832 Santa Severina KR	a Santa Severina
EGENIO_RONCHETTI_02	biblioteca	PL000024		in via de' Gavasseti - di fianco all'ex sede Mbm
RITA_RONCHETTI_1	Bologna	PL000025	bologna, italy	
CARLO_CANDI	Brera	PL000026	brera, italy	
nora01	Bricoman	PL000027	Via Emilia Ovest, 1014, 41123 Modena MO	
nora01	Bruciata	PL000028	bruciata, modena	
MIRIAM_01_1	Buon Pastore	PL000029		corsetteria in Buon Pastore
CARLO_CANDI	Calabria	PL000030	calabria, italy	
vesce02	CAM	PL000031	Via Nicolò Biondo 89, Modena	
