utteredby	name	fullname	id	address	descr	lat	lon	ialink
afor_av_angelo-fantoni_01	Africa		PL000004	africa		15.9999997	2.0000003	
afor_av_angelo-fantoni_02	Acciaierie di rubiera		PL000002	Acciaierie di Rubiera		10.780898724743	44.625061	
afor_av_angelo-fantoni_02	Aeroporto di tripoli		PL000003	aeroporto di Tripoli		13.2754884156506	32.8962023	
afor_av_angelo-fantoni_02	Arabia		PL000007	arabian peninsula		49.4771176515971	22.3743008	
afor_av_angelo-fantoni_02	Autobus		PL000015		costruttore di autobus nel villaggio	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Campogalliano		PL000033	campogalliano		10.8407336	44.6905118	
afor_av_angelo-fantoni_02	Capitale		PL000037		capitale della Somalia	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Castelfranco emilia		PL000046	castelfranco emilia		11.0529006	44.5950245	
afor_av_angelo-fantoni_02	Castello estense		PL000048		a Ferrara	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Circolo velico		PL000065		ai laghetti di Campogalliano	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Collegio		PL000069		in Somalia (capitale)	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Corea		PL000080			NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Corriere		PL000083		ancora il costruttore di autobus nel villaggio	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Diga		PL000088		in Somalia	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Europa		PL000096			NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Ferrara		PL000103	ferrara, italy		11.6186451	44.8372737	
afor_av_angelo-fantoni_02	Finlandia		PL000109	Finlandia		25.9209164	63.2467777	
afor_av_angelo-fantoni_02	Fonderia		PL000113		Fonderia Ponzoni	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Foresta nera		PL000116	Foresta Nera		8.16474879186534	48.26344385	
afor_av_angelo-fantoni_02	Galleria estense		PL000123	337, Largo Porta Sant’Agostino, Quartiere Cittanova, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy		10.9210346	44.6482469	
afor_av_angelo-fantoni_02	Germania		PL000124	Germania		10.4234469	51.0834196	
afor_av_angelo-fantoni_02	Istituto tecnico		PL000130		a Modena -> il Corni	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Po		PL000191			NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Treno		PL000247		ferrovia del Villaggio	NotAvailable	NotAvailable	
afor_av_angelo-fantoni_02	Tripoli		PL000249	Tripoli, Libya 		13.1777923	32.896672	
afor_av_angelo-fantoni_02	Venezia		PL000253	Venezia, Italy		12.3345898	45.4371908	
afor_av_angelo-fantoni_02	Via cesare costa		PL000257	via Cesare Costa, modena		10.9119155	44.6568188	
afor_av_angelo-fantoni_02	Vignola		PL000278	Vignola, Unione di comuni Terre di Castelli, MO, Emilia-Romagna, 41058, Italy (		11.0090928	44.4784141	
afor_av_angelo-fantoni_02	Zuccherificio		PL000284		in Somalia (ex Villaggio Duca degli Abruzzi)	NotAvailable	NotAvailable	
afor_av_annamaria-vincenzi_01	Bar		PL000019		di fronte alla fabbrica sede delle scuole	NotAvailable	NotAvailable	
afor_av_annamaria-vincenzi_01	Coris		PL000081			NotAvailable	NotAvailable	
afor_av_annamaria-vincenzi_01	Distributore		PL000090		al Villaggio	NotAvailable	NotAvailable	
afor_av_annamaria-vincenzi_01	Elementari		PL000093		parla delle vecchie elementari (sopra all'Indusnova?)	NotAvailable	NotAvailable	
afor_av_annamaria-vincenzi_01	Fabbrica		PL000098		indusnova? era sede di una scuola	NotAvailable	NotAvailable	
afor_av_annamaria-vincenzi_01	Materne		PL000147		scuola materna del villaggio dove ora c'è l'Emilio Po	NotAvailable	NotAvailable	
